data_id,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,notes
11,,2019,Protest/Riot,Excessive force against protesters,Protesters,,  place,,Southern Asia,India,Uttar Pradesh,Farrukhabad,Jahan Ganj,Jahan Ganj,27.2417874,79.5561293,Recommended By ColombiaA similar incident took place at Loniadih village in Jahanganj area of Azamgarh where too people blocked the road to express their protest on Friday.Police assured them for a new statue.The jam was cleared after intervention of police and assurance of installing a new statue.
12,,2019,Protest/Riot,Mob violence,Protesters,, General Thimayya Circle,,Southern Asia,India,Karnataka,Kodagu,Madikeri,Madikeri,12.4244205,75.7381856,"A protest was held at General Thimayya Circle and the farmers urged the Central and state governments to fulfil their demands.Demanding the fixing of a better price for black pepper and coffee, the members of Rajya Raitha Sangha and Hasiru Sene district unit took out a vehicle rally from Kutta to the deputy commissionerâs office in Madikeri on Friday.The protesters accused the Central and state governments of neglecting the farming community."
13,,2019,Protest/Riot,Sexual violence,Protesters,,,,Southern Asia,India,Odisha,Nabarangpur,Nabarangpur,Nabarangpur,19.5001322,82.3017728,"Nabarangpur: Two days after some videos purportedly showing Congress candidate from the Nabarangpur parliamentary constituency, Pradeep Majhi cozying up with an unidentified woman inside a hotel room went viral on social media, the Biju Mahila Janata Dal (BMJD) launched a massive protest in the district demanding strong action against Majhi for his alleged involvement in the sexual misconduct.However, Majhi has termed it as a conspiracy of the rival parties to defame him ahead of the elections.They also demanded that the AICC and PCC should withdraw their support to the MP candidate."
14,,2019,Protest/Riot,Mob violence,Protesters,,  place,,Southern Asia,India,Odisha,Kalahandi,Ratakhandi,Ratakhandi,20.500327,83.5523205,"According to sources, the incident took place during the poll campaigning of Rana when supporters of Sesha Kumar Meher allegedly vandalised a four-wheeler owned by Rana.Subsequently, tension erupted at the spot and supporters of Rana later lodged a complaint at Manmunda police station.A group of BJD workers allegedly damaged the vehicle of Kantamal MLA candidate Mahidhar Rana in Ratakhandi village under Ghikundi panchayat in Boudh today."
15,,2019,Protest/Riot,Attack,Protesters,,,,Southern Asia,India,Odisha,Mayurbhanj,Mayurbhanj,Mayurbhanj,22.0086978,86.4187308,"Bhubaneswar: In what could seem like a major trouble for the BJD, another heavyweight and Morada MLA Praveen Chandra Bhanj Deo resigned from the primary membership of the BJD & from the post of partyâs district unit president today.âThey have fielded a candidate who has lost thrice, so I decided to quit the party,â said Bhanj Deo who is a two-time MLA.As per reports, after the induction of former BJP leader Raj Kishore Das into BJD, significant changes were made for Mayurbhanj seat."
16,,2019,Protest/Riot,Sexual violence,Protesters,,,,Southern Asia,India,Odisha,Khordha,Bhubaneswar,Bhubaneswar,20.2960587,85.8245398,"Bhubaneswar: A day after BJP leaders staged dharna in front of Naveen Niwas, the Chief Ministerâs residence, demanding State government to accept the resignation letter of saffron partyâs Saraskana Assembly candidate Budhan Murmu, the Health department today notified that it has accepted the resignation of Budhan from his doctor post.BJP state vice president Samir Mohanty and spokesperson Lekhashree Samantsinghar along with Budhan had staged a dharna in front of the CMâs residence yesterday.After Budhan met the Chief Secretary and the Health Secretary at the State Secretariat in Bhubaneswar, his resignation letter was accepted and the Health department issued a notification to that effect, informed sources."
17,,2019,Protest/Riot,Mob violence,Protesters,,  demonstration,,Southern Asia,India,Odisha,Cuttack,Kathajodi River,Kathajodi River,20.4615953,85.8322334,"Angry students staged a demonstration in front of the Vice Chancellorâs office and gheraoed him protesting inaction over thrashing of an under graduate (UG) girl student by another senior in Kathajodi girls hostel of the varsity.As per sources, an UG student staying at the Kathajodi girls hostel of the varsity was beaten up by a senior MPhil girl student March 30.The incident was later reported to the varsity authorities but as no action was taken against the accused senior, students of UG stream protested in front of the Vice Chancellorâs office demanding justice to the junior student over the misbehaviour incident and separate"
18,,2019,Protest/Riot,Mob violence,Protesters,,  TDP   clashes,,Southern Asia,India,Tamil Nadu,Kanchipuram,Veerapuram,Veerapuram,12.5547894,80.0938533,"District Election Officer G. Veerapandian said TDP and YSR Congress Party workers indulged in clashes somewhere in Veerapuram village, but ran into the polling station and chased each other.The TDP worker died at the KIMS Saveera Hospital where he was brought for treatment, police told The Hindu.Outside the polling booth the TDP worker was beaten to death."
19,,2019,Protest/Riot,Mob violence,Protesters,,  constituency,,Southern Asia,India,,,,,,,"The BJP has won the constituency for the last 28 years and failed to take up development worksSpeaking at the inauguration of the Congress election office in Bendoorwell on Sunday, he said, âThe BJP-led government has destroyed the existence of Vijaya Bank.I will continue my fight to save its name at least.âÂ âThe Lok Sabha election is a war between âdharmaâ and âadharmaâ, between truth and falsehood, propaganda and false propaganda and zero development versus comprehensive development."
20,,2019,Protest/Riot,Peaceful protest,Protesters,,  constituencies,,Southern Asia,India,Telangana,Medak,Hyderabad,Patancheru,17.5287427,78.266725,"The TRS won Andhol, Narayankhed, Zaheerabad and Patancheru constituencies in recent Assembly elections while Congress candidate Jagga Reddy emerged victorious from Sangareddy constituency.Sangareddy: The district headquarters has turned crucial for all political parties.Also Read - Nizam's kin gesture to Nizamia Hospital Advertise With Us TRS took the election as prestigious and Siddipet MLA Harish Rao took out a whirlwind campaign in the district and appealed to voters t"
21,,2019,Protest/Riot,Attack,Protesters,, press note,,Southern Asia,India,,,,,,,"Harikiran said in a press note right now polling procedure was smoothly continuing in all assembly segments following rectification of problems witnessed the voting machines.Kadapa,April 11:Following poor performance of EVM's just 17.24 voting percentage was recorded by 11AM.Old aged people were seen suffering under hot son in long lines waiting for their turn."
22,,2019,Protest/Riot,Mob violence,Protesters,, polling station,,Southern Asia,India,Andhra Pradesh,Chittoor,Chittoor,Chittoor,13.217176,79.1003289,"Voters' enthusiasm was palpable in every polling station in the 14 Assembly constituencies in the district where people saw standing up in long queues patiently waiting to have their turn to vote.Interestingly, the polling which was very brisk in the beginning slowed down while in the rural dominated constituencies, the polling which was dull in the morning later picked up momentum.Tirupati: Despite the technical snags in EVMs in many places and minor incidents involving TDP and YSRCP activists clashing with each other in several places, the polling in Chittoor district went on briskly."
23,,2019,Protest/Riot,Mob violence,Protesters,, Mohini Alamkaram Advertise,,Southern Asia,India,Andhra Pradesh,Guntur,Guntur,Kanna Vari Thota,16.2914251,80.4445186,"Also Read - Lord Rama decorated in Mohini Alamkaram Advertise With Us Voters faced lot of inconvenience due to malfunctioning of EVMs at Guntur east, west, Prattipadu, Mangalagiri, Ponnur, Gurazala, Tenali, Sattenapalli, constituencies.From morning, voters stood in long queues near the polling stations and exercised their franchise.Guntur: Barring sporadic incidents in Palnadu region, the polling went off peacefully in Guntur district on Thursday."
24,,2019,Protest/Riot,Mob violence,Protesters,,,,Southern Asia,India,Andhra Pradesh,Guntur,Guntur,Guntur,16.3066525,80.4365402,"Guntur: Chief Minister N Chandrababu Naidu, who is doing big exercise for finalising the names of contestants for Lok Sabha and Assembly constituencies in the State, held discussions with party leaders to choose the candidates for Assembly segments under the Guntur Lok Sabha constituency.Sitting Guntur West MLA Modugula Venugopala Reddy, who is not happy with his position in the party, is unlikely to get ticket this time.Similarly, sitting Ponnur MLA Dhulipalla Narendra Kumar and Tenali MLA Alapati Rajendra Prasad may be given tickets to contest from the same segments."
25,,2019,Protest/Riot,Mob violence,Protesters,,  hands,,Southern Asia,India,Andhra Pradesh,Kadapa,Simhadri Puram,Simhadri Puram,14.6288168,78.1265104,"According to the sources once in a stage the situation went out of hands after Kadapa YCP nominee YS Avinash Reddy rushed to the spot along withe men entered heat exchange with the TDP leaders.Later bothered groups went to the Police station lodged complaint on each other's According to the sources around 2.30 AM on Thursday both TDP YSR Congress rounding in Simhadripuram village allegedly to lure the voters by distributing money and other valuables.Also Read - Lord Rama decorated in Mohini Alamkaram Advertise With Us This was caused entering heat exchange over the issue resulted N.Mohammad, Hajivali reportedly belongs to injured"
26,,2019,Protest/Riot,Sexual violence,Protesters,,  action,,Southern Asia,India,Handwara,Handwara,Handwara,Handwara,,,"The security forces accompanying the election staff used force on the protesters and four persons were injured in the action, he said.SRINAGAR: One person died and three others injured in security forcesâ action on protestors in Handwara area of Kupwara district on Thursday, a police official said.The injured were taken to a hospital where one of them succumbed, the official said."
27,,2019,Violence Against Civilians,Excessive force against protesters, JAMMU,,Civilian,,Southern Asia,India,Kishtwar,Kishtwar,Kishtwar,Kishtwar,,,"JAMMU, Apr 11: Curfew continued in Kishtwar town and Army remained deployed for third consecutive day today even as no untoward incident was reported from any part of the district in the aftermath of the killing of top RSS functionary Chanderkant Sharma and his PSO Rajinder Kumar by the militants on Tuesday.SSP Kishtwar Shakti Pathak told the Excelsior that curfew remained imposed in entire Kishtwar town for third day today.Click here to watch videoMeanwhile, curfew was lifted from Bhaderwah town while restrictions under Section 144 were also withdrawn from entire Doda district as there was complete normalcy in the district."
28,,2019,Protest/Riot,Attack,Protesters,, Spangmik residents  China border,,Southern Asia,India,China,China,China,China,,,"Reports said that all Spangmik residents, twelve household in number, marched towards China border leaving their livestock locked at home.However the protesting residents were stopped by Army at Border Personal Meeting point (BPM) and when the last report received around 4:00 PM, they were still at BPM.LEH, Apr 10: The residents of Spangmik village, located near the famous Pangong lake, reportedly marched towards China in protest against the District Administrationâs demolition drive carried out this morning to dismantle the tourist camp raised near the lake."
29,,2019,Violence Against Civilians,Mob violence, They,,Civilian,,Southern Asia,India,Himachal Pradesh,Mandi,Pakhri,Pakhri,31.7895476,76.9326167,"They alleged that last several years the Polling Station was established in their village Barota Camp during the elections but this time the concerned department shifted the Polling Station from village Barota to Pakhri.Due to this the people of this village face lot of trouble in casting their vote because the village Pakhri is away from this village and also voters have to cover a large distance to cast their votes.According to the reports, a large number of the people of village assembled in Ramgarh and raised slogan against the concerning department."
30,,2019,Violence Against Civilians,Sexual violence, murder,,Civilian,,Southern Asia,India,Kishtwar,Kishtwar,Kishtwar,Kishtwar,,,"âUnequivocally condemn the brutal murder of Chandrakant & his personal security officer in Kishtwar today, there can be no place for targeting political operatives like thisâ.JAMMU, Apr 9: Various political and social leaders have strongly condemned the terrorist attack on RSS leader and his Personnel Security Officer (PSO) at Kishtwar who attained martyrdom today.âCondemn this act of terror, seems like part of a bigger plan to incite communal"
31,,2019,Protest/Riot,Sexual violence,Protesters,, family members  river bank,,Southern Asia,India,Delhi,West Delhi,New Delhi,Janakpuri,28.612087,77.104538,"Reports said that family members and relatives of Master Gulzar Ahmed, resident of Mankote whose dead body with multiple injuries was recovered from river bank in Balnoi area on March 27, today thronged Police Station Mendhar at around 10.30 am and started strong protest demonstration.The family members including large number of women, shouted slogans against the police and said that it was clear case of murder while police was derailing the investigaThey alleged that police failed to arrest the accused even after three days of the incident and was trying to shield the culprits."
32,,2019,Protest/Riot,Excessive force against protesters,Protesters,,,,Southern Asia,India,Kathua,Kathua,Kathua,Kathua,,,"KATHUA, Apr 3: To project their long pending demands, a large number of PHE workers held protest, here today.Carrying placards, PHE workers along with their family members under the banner of All J&K PHE ITI Trained and CP Workers and Land Donors and Imprest Wagers Association District Kathua assembled here and held protest.They raised slogans against the Government for not conceding their long pending demands."
33,,2019,Protest/Riot,Mob violence,Protesters,,  proof,,Southern Asia,India,Delhi,North West Delhi,Delhi,Rohini,28.704139,77.098469,"The protest was led by Front president, Ashok Gupta and the protesters condemned Congress for using defamatory term âHindu terrorismâ for vote bank politics.âCongress leader, Digvijay Singh accused RSS of running terror training camps; P. Chidambaram, Finance Minister in UPA Government titled the Samjotha Blast case calling it as work of âSaffron terrorismâ and Sushil Kumar Shinde hSpeaking on the occasion Gupta said, after the decision of Panchkula High Court in Samjotha blast case all the accused who were jailed on the name of âHindu terrorismâ were acquitted as there was no proof against them."
34,,2019,Protest/Riot,Mob violence,Protesters,, General Thimayya Circle,,Southern Asia,India,Karnataka,Kodagu,Madikeri,Madikeri,12.4244205,75.7381856,"A protest was held at General Thimayya Circle and the farmers urged the Central and state governments to fulfil their demands.The protesters accused the Central and state governments of neglecting the farming community.Demanding the fixing of a better price for black pepper and coffee, the members of Rajya Raitha Sangha and Hasiru Sene district unit took out a vehicle rally from Kutta to the deputy commissionerâs office in Madikeri on Friday."
35,,2019,Protest/Riot,Mob violence,Protesters,,,,Southern Asia,India,Tripura,Tripura,Tripura,Tripura,23.9408482,91.9881527,"New Delhi: Debnath, a resident surgeon at Indira Gandhi Memorial (IGM) Hospital, was dragged by a group of people and thrashed in public by aggrieved relatives of a deceased patient.Protesting against the incident, the Indian Medical Association (IMA) and the All Tripura Government DoctorFive people were arrested in connection with the incident, but they got bail from a lower court."
36,,2019,Violence Against Civilians,Peaceful protest,PWD contractors,,Civilian,,Southern Asia,India,,,,,,,The agitating PWD contractors claimed that they have not received dues for the works that have already been done in the past six months.JAIPUR: Public works department contractors launched a protest in the city for non-payment of dues for the works they had done in the past few months.The works have already been done but payments have not been made.
37,,2019,Protest/Riot,Abduction/forced disappearance,Protesters,, Pay Commission,,Southern Asia,India,,,,,,,"The government has failed to implement the Pay Commission.He said the state government was not releasing pending dearness allowance of employees.Gurmail Singh, chairman of the committee alleged that the Congress has failed to fulfill promises it made before the Assembly polls."
38,,2019,Protest/Riot,Sexual violence,Protesters,, VRS scheme,,Southern Asia,India,,,,,,,"The DoT and BSNL management wants to implement the VRS scheme to reduce the work force.The crisis in the BSNL is not due to huge workforce but anti-public sector policies of the government.Balbir Singh, circle secretary, BSNLEU, and Surjit Singh, circle secretary, NFTE, said the Department of Telecommunication (DoT) intends to impose the VRS with an aim to make the BSNL more attractive for strategic sale."
39,,2019,Protest/Riot,Excessive force against protesters,Protesters,,  day   number,,Southern Asia,India,,,,,,,"The demonstration over the non-payment of salaries comes a day after the airlines suspended a number of flights.Cash-strapped Jet Airwaysâ ground staff Friday demonstrated at Mumbaiâs CSIA airport over the non-payment of salaries.âWe are not holding a protest, we just want to know about our salaries."
40,,2019,Protest/Riot,Attack,Protesters,, state government   Kamboj,,Southern Asia,India,,,,,,,"Arhtiyas on Saturday forced the state government to take back the decision of e-trading and direct payment to farmers.âPayment will be made to arhtiyas in seven days and they will distribute it among farmers,â said Kamboj.The minister assured arhtiyas of support, after which arhtiyas called off the strike."
41,,2019,Protest/Riot,Mob violence,Protesters,,  journalist,,Southern Asia,India,Delhi,Delhi,Delhi,Delhi,28.7040592,77.1024902,"Harvinder mistreated the journalist after he questioned him on the farewell reception organised by Paramjit for outgoing Pakistan High Commissioner to India Sohail Mahmood.Harvinder Singh Sarna, brother of the Shiromani Akali Dal (Delhi) leader S Paramjit Sarna on Friday allegedly manhandled an ANI journalist in Delhi.Harvinder also roughed up the cameraman and hurled abuses at them."
42,,2019,Protest/Riot,Excessive force against protesters,Protesters,,  clash,,Southern Asia,India,Haryana,Haryana,Haryana,Haryana,29.0587757,76.085601,"Thirty policemen and 15 students were injured in a clash when police tried to remove a group of students who had blocked traffic at Karnalâs ITI chowk on Friday to protest against the death of a student in a bus accident the previous day.A day after 20-year-old Nikit, a student of Industrial Training Institute (ITI) and a resident of Rindal village, was allegedly crushed to death by a Haryana Roadways bus, the students boycotted classes and came out to block NH-44.Haryana Police also rounded up 100 students."
43,,2019,Protest/Riot,Mob violence,Protesters,,  ones,,Southern Asia,India,Delhi,Delhi,Delhi,Delhi,28.7040592,77.1024902,"âWe will be the ones to suffer the most in spite of the fact that we had no role in the destruction of the planet.â The protest was a part of the âFridays for Futureâ movement organised by school children across the globe who plan to take the streets Fridays -- at least once a month -- to protest the governmentâs inaction to curb climate change.Scores of students from schools and universities across Delhi Friday gathered outside the Union ministry of environment forest and climate change as part of the ongoing global school strikes for climate action.Last year, the movement was kick-started by Greta Thunberg, a 16-year-old"
44,,2019,Protest/Riot,Mob violence,Protesters,,  protest  press conference,,Southern Asia,India,Democratic,Democratic,Democratic,Democratic,,,"While one group staged a protest at Ambedkar Park and sought action against a teacher who had allegedly attacked the president of the union on Thursday evening, the other groupâs members conducted a press conference to defy the formerâs claims.Members of two factions of Democratic Teachersâ Front (DTF) indulged in a war of words on Friday.Resham Singh, president of the DTF, said âWhen I shared information regarding Februaryâs pending salaries of teachers, Arjan Singh started using foul language against me."
45,,2019,Protest/Riot,Sexual violence,Protesters,,  it   staff   salaries,,Southern Asia,India,Punjab,Ludhiana,Ludhiana,Ludhiana,30.900965,75.8572758,"Speaking on the occasion he said it was sad that the staff was working without salaries for the past five months.Ludhiana, April 12 Teachers of LR DAV College, Jagraon, today sat on a protest dharna as the authorities have failed to give them salaries for the past five months.Professor Parminder Singh said they sat on dharna only during their free periods so that the studies of the students do not suffer, but the authorities were least concerned about their demands."
46,,2019,Violence Against Civilians,Mob violence, woman,,Civilian,,Southern Asia,India,Haryana,Panchkula,Panchkula,Panchkula,30.6942091,76.860565,"The woman lodged a complaint with the police following which the officer was booked and a preliminary investigation was started.A Haryana Civil Service officer posted in Panchkula was arrested on Thursday for allegedly molesting a woman employee.The woman in her complaint alleged that on May 28 the officer called her to his cabin and offered her coffee, which she refused."
47,,2019,Protest/Riot,Mob violence,Protesters,,  head   park,,Southern Asia,India,Uttar Pradesh,Prayagraj,Prayagraj,Prayagraj,25.4358011,81.846311,"One statue was found with its head chopped off at a park in Allahabadâs Trivenipuram locality today and the other B R Ambedkar statue was damaged in Siddharthnagar's Gohaniya last night.Two statues of Dalit icon Bhimrao Ramji Ambedkar was vandalised in Uttar Pradesh on Friday night and Saturday.""We are aware of the matter and are trying to locate the suspects,"" said Senior Superintendent of Police (SSP) Allahabad Aakash Kulhari, according to news agency IANS."
48,,2019,Protest/Riot,Mob violence,Protesters,,,,Southern Asia,India,Tamil Nadu,Chennai,Chennai,Chennai,13.0826802,80.2707184,"Chennai: Unidentified men Friday allegedly hurled petrol bombs at the house of a local DMK functionary in Central Chennai parliamentary constituency damaging a car parked there, police said.A car parked in the house was damaged in the incident, police said.An FIR has been registered, police said, adding CCTV footage showed the suspects were wearing helmets and moving toward the house of the functionary."
49,,2019,Protest/Riot,Mob violence,Protesters,,,,Southern Asia,India,Gojwara,Gojwara,Gojwara,Gojwara,,,"A Central Reserve Police Force (CRPF) trooper was injured on Friday in a petrol bomb attack here.Police said unidentified persons hurled the bomb at a CRPF bunker in Gojwara area of Srinagar's old city.""One CRPF jawan sustained minor injuries and has been shifted to hospital,"" a police official said."
50,,2019,Protest/Riot,Mob violence,Protesters,,,,Southern Asia,India,Odisha,Balasore,Balasore,Balasore,21.4869337,86.9246005,"Balasore: Accusing the headmaster and physical education teacher of torturing and misbehaving with girl students at Janardhan High School of Barbatia village under Bhogarai block in Balasore, locals staged a protest in front of the school today.Apart from harassing girls, the locals also alleged that teachers used to consume alcohol inside the school premises.âBoth the headmaster and physical education teacher used to physically torture the girl students since long and we want them to be immediately transferred,â a Barabatia resident, Ajay Kumar Pal, said."
51,,2019,Protest/Riot,Mob violence,Protesters,, party supporters,,Southern Asia,India,Manipur,Thoubal,Thoubal,Thoubal,24.5435506,93.9674371,"In the process, a scuffle ensued between the BJP and Congress party supporters which resulted in injuries to three Congress supporters while a female supporter who sustained severe injuries is currently undergoing treatment at Shija Hospital.The three injured were first admitted to Thoubal District Hospital; however, the severance of the injuries sustained by Khundrakpam Pushpa led to her referral to Shija Hospital while the other two have been discharged after treatments.At around 6:00 pm today, BJP supporters allegedly vandalised and destroyed properties of the Congress party office building located at Khangabok Part-II, Mayai Leikai."
52,,2019,Protest/Riot,Attack,Protesters,,,,Southern Asia,India,Kurung Kumey,Kurung Kumey,Kurung Kumey,Kurung Kumey,,,"Inspector General of Police and State Nodal Officer (Election) Sunil Garg today said the man was rushed to a hospital where he succumbed to his injuries.ITANAGAR, April 12 - One person died in poll-related violence at Nyapin in Kurung Kumey district of Arunachal Pradesh, police said today.The man, said to be a supporter of the ruling BJP, had sustained grievous injuries in a clash on polling day on Thursday."
53,,2019,Protest/Riot,Mob violence,Protesters,,  protest,,Southern Asia,India,West Bengal,Jalpaiguri,Alipurduar,Alipurduar,26.4918891,89.5271026,"Accusing the ruling Trinamool Congress of rigging in the Cooch Behar Lok Sabha seat during the first phase of polling in West Bengal on Thursday, BJP candidate Nishit Pramanik held a sit-in protest in front of the district magistrate's office and demanded a re-poll in 500 booths where state police was deployed.BJP candidate from Alipurduar John Balra also complained of rigging by TMC workers in some of the booths.Pramanik alleged rigging in nearly 500 booths where state police was deployed."
54,,2019,Protest/Riot,Protest with intervention,Protesters,,  farmers   police   people,,Southern Asia,India,Gujarat,Rajkot,Rajkot,Rajkot,22.3038945,70.8021599,"The situation turned tense after the farmers were stopped from going ahead and the police had to detain 34 people, including 26 men and 8 women.Rajkot Joint Commisioner of Police Siddharth Khatri said that 34 people were detained and later released without any offence registered against them.After farmers were stopped from organising a crop insurance rally on Wednesday owing to PM Modiâs rally in Saurashtra, about 300 farmers gathered at Bahumali Bhavan at 11 am on Thursday and tried to proceed to the Collectorâs office."
55,,2019,Protest/Riot,Attack,Protesters,,,,Southern Asia,India,Andhra Pradesh,Kadapa,Jammalamadugu,Jammalamadugu,14.8474197,78.3899108,"Hyderabad: Former MP and YSRCP General Secretary YV Subba Reddy on Thursday demanded that the TDP MLAs and MPs who resorted to violence during the polling should be arrested and disqualified from the elections.Stating that the police didn't respond to these attacks, YV Subba Reddy also added that TDP leader and Rajya Sabha member CM Ramesh attacked YSRCP agents in polling booths at Jammalamadugu and Proddatur constituencies of YSR district.Speaking to the media at the YSRCP office in Hyderabad on Thursday, he mentioned that Eluru constituency TDP candidate and sitting MLA Badeti Bujji attacked former deputy mayor, former corporator and four others belonging to YSRCP party."
56,,2019,Violence Against Civilians,Mob violence,Sabha candidate,,Civilian,,Southern Asia,India,,,,,,,"Lok Sabha candidate of Jana Sena Party (JSP), Madhusudan Gupta, on Wednesday broke an Electronic Voting Machine (EVM) at a polling booth in Gooty town here alleging that the names of Assembly and Lok Sabha seats had not been properly displayed in the voting chamber.He alleged that the names of Assembly and Lok Sabha seats had not been properly displayed in the polling chamber.Gupta reached the polling station at Girls' Higher School in Gooty which falls under Guntakal Assembly constituency, this morning."
57,,2019,Protest/Riot,Peaceful protest,Protesters,,  march,,Southern Asia,India,Punjab,Punjab,Punjab,Punjab,31.1471305,75.3412179,"The protesters also carried out a march from the administrative complex to Finance Minister Manpreet Badalâs office.The protesters said the state government had been ignoring their pending demands for a long time.Demanding regular jobs, Members of the Punjab UT Mulazam and Pensionersâ Sangharsh Committee staged a protest in front of the district administrative complex here on Thursday."
