,article_text,persons,organizations,url
22,"Guntur: Barring sporadic incidents in Palnadu region, the polling went off peacefully in Guntur district on Thursday. From morning, voters stood in long queues near the polling stations and exercised their franchise. Chief Minister N Chandrababu Naidu, his wife Bhuvaneswari, TDP candidate for Mangalagiri Assembly constituency N Lokesh Naidu, his wife Brahmani and AP Chief Electoral Officer Gopala Krishna Dwivedi also exercised their franchise at a polling booth in Tadepalli of Guntur district. Also Read - Lord Rama decorated in Mohini Alamkaram Advertise With Us Voters faced lot of inconvenience due to malfunctioning of EVMs at Guntur east, west, Prattipadu, Mangalagiri, Ponnur, Gurazala, Tenali, Sattenapalli, constituencies. Malfunctioning of Electronic Voting Machines was reported from Mangalagiri constituency from where Nara Lokesh is contesting. Lokesh informed the matter to the Election Commission officials about the non-functioning of EVMs. YSRCP candidate for Mangalagiri Assembly constituency Alla Rama Krishna Reddy staged protest at the polling booth at C K School in Mangalagiri resenting the malfunctioning of the EVMs which caused inconvenience to the voters. The voters were annoyed due to non-functioning of EVMs and they are compelled to wait for long time to exercise their franchise. Also Read - Law and order totally collapsed in Andhra Pradesh Under Chandrababu Government: YSR chief Jaganmohan Reddy Advertise With Us In a major incident, YSRCP activists attacked Assembly Speaker Dr Kodela Siva Prasada Rao and torn off his shirt at Inumetla village under Rajupalem mandal of Guntur district.When the EVMs stuck at a polling booth at Tenali town, TDP candidate for Tenali Assembly constituency Alapati Rajendra Prasad, YSRCP candidate for Guntur Parliament constituency entered into argument and heated exchanges took place. The officials then repaired the EVMs. Advertise With Us Three YSRCP activists sustained injuries, in the stone pelting incident that took place at polling booth No: 174 in Durgi mandal of Macherla Assembly constituency. The TDP and the YCP activists clashed pelting stones at each other. In the incident, three YSRCP activists were injured. They were sent home after giving first aid. The clash started when one group opposed voting of another group at the polling booth. The YSRCP activists expressed ire and staged a protest on the road. When the situation was going out of control, the police swung into action and brandished guns and warned the warring groups. MLA and YSRCP candidate for Macherla Assembly constituency Pinnelli Rama Krishna Reddy who rushed to the spot said, ""Police did not take action against the TDP activists who pelted stones and injured the YCP activists though they complained several times.'' At a polling booth at Tangeda under Dachepalli mandal, when the TDP activists attempted for rigging, the YSRCP activists obstructed it. In the clash the TDP activists severely have beaten the YSRCP activists. Police resorted to a mild lathi-charge against the YSRCP activists in Krosuru mandal of Pedakurapadu Assembly constituency. When a large number of YCP activists gathered at the polling booth, police warned them to go away. When they ignored their warnings, they resorted to mild lathi-charge, in which a youth, Nakka Nagaraju fell unconscious. The YSRCP activists staged dharna to register protest and raised slogans against the government.
","Guntur, N Chandrababu Naidu, Bhuvaneswari, Lokesh Naidu, Brahmani, Gopala Krishna Dwivedi, Rama, Mohini Alamkaram, Sattenapalli, Lokesh, Alla Rama Krishna Reddy, Jaganmohan Reddy, Kodela Siva Prasada Rao, Alapati Rajendra Prasad, Pinnelli Rama Krishna Reddy, Dachepalli","Mangalagiri Assembly, AP, Electronic Voting Machines, Election Commission, C K School, YSR, YSRCP, Assembly, Guntur Parliament, MLA, Macherla Assembly",-
23,"Guntur: Chief Minister N Chandrababu Naidu, who is doing big exercise for finalising the names of contestants for Lok Sabha and Assembly constituencies in the State, held discussions with party leaders to choose the candidates for Assembly segments under the Guntur Lok Sabha constituency. Initially, the name of sitting Lok Sabha member Galla Jayadev has been finalised for the same segment. Similarly, sitting Ponnur MLA Dhulipalla Narendra Kumar and Tenali MLA Alapati Rajendra Prasad may be given tickets to contest from the same segments. Sitting Guntur West MLA Modugula Venugopala Reddy, who is not happy with his position in the party, is unlikely to get ticket this time. Meanwhile the TDP leadership has some other options for West Assembly segment. Also Read - Lord Rama decorated in Mohini Alamkaram Advertise With Us Former minister Dr S Aruna and her son Dr Uma Shankar and another candidate Kovelamudi Ravindra (Nani) are in the race. In Guntur East, Maddali Giri and film actor Ali are in the race. The Chief Minister is in favour of fielding the actor Ali from Guntur East segment because of sizeable number of Muslim voters in the constituency. For Mangalagiri Assembly constituency, former MLA Kandru Kamalaâs family members are likely to get ticket. Former IAS officer D Ramanajaneyulu is in the race for Prattipadu Assembly constituency.","Guntur, N Chandrababu Naidu, Galla Jayadev, Dhulipalla Narendra Kumar, Tenali MLA Alapati Rajendra Prasad, Modugula Venugopala Reddy, Rama, Mohini Alamkaram, Dr S Aruna, Uma Shankar, Kovelamudi Ravindra, Nani, Maddali Giri, D Ramanajaneyulu","Lok Sabha and Assembly, Assembly, Guntur Lok Sabha, Lok Sabha, Mangalagiri Assembly",-
24,"Kadapa,April 11: Tension prevailed in Simhadripuram village of Pulivendula mandal with the TDP, YCP functionaries attacked with each around 2.40 AM on Thursday. According to the sources once in a stage the situation went out of hands after Kadapa YCP nominee YS Avinash Reddy rushed to the spot along withe men entered heat exchange with the TDP leaders. Later bothered groups went to the Police station lodged complaint on each other's According to the sources around 2.30 AM on Thursday both TDP YSR Congress rounding in Simhadripuram village allegedly to lure the voters by distributing money and other valuables. Also Read - Lord Rama decorated in Mohini Alamkaram Advertise With Us This was caused entering heat exchange over the issue resulted N.Mohammad, Hajivali reportedly belongs to injured in the incident. YS Avinash Reddy lodged complaint to the police that followers of TDP leader B.Tech Ravi were responsible for attacking YCP functionaries. Meanwhile around 6.15 AM on Thursday Chapadu police arrested YCP functionary S.Subba Reddy reportedly on the charges of trying to create panic situation.
","Avinash Reddy, Rama, Mohini Alamkaram, Hajivali, B.Tech Ravi, S.Subba Reddy","Kadapa YCP, Congress",-
25,"SRINAGAR: One person died and three others injured in security forcesâ action on protestors in Handwara area of Kupwara district on Thursday, a police official said.

Protests broke out in Mandigam area of Handwara in the north Kashmir district after polling for the first phase of parliamentary polls ended, the official said.

He said the protesters pelted stones on the polling staff returning from election duty.

The security forces accompanying the election staff used force on the protesters and four persons were injured in the action, he said.

The injured were taken to a hospital where one of them succumbed, the official said. (AGENCIES)",,,-
26,"JAMMU, Apr 11: Curfew continued in Kishtwar town and Army remained deployed for third consecutive day today even as no untoward incident was reported from any part of the district in the aftermath of the killing of top RSS functionary Chanderkant Sharma and his PSO Rajinder Kumar by the militants on Tuesday.
Click here to watch video
Meanwhile, curfew was lifted from Bhaderwah town while restrictions under Section 144 were also withdrawn from entire Doda district as there was complete normalcy in the district.
SSP Kishtwar Shakti Pathak told the Excelsior that curfew remained imposed in entire Kishtwar town for third day today. He said the administration decided against giving any relaxation in curfew after taking assessment of the situation.
There were no protests in any part of Kishtwar today, he said, adding that Army remained deployed in the town along with para-military Central Reserve Police Force (CRPF) and police.
Sources said youth at couple of places in Kishtwar town tried to take out protest marches but their attempt to defy curfew was foiled by the police and paramilitary personnel.
According to sources, authorities decided not to give any relaxation in curfew in view of simmering discontent among the people against the killings of the RSS leader and his PSO by the militants.
Police and security forces continued searches at different places to track down the militants involved in the killings but they remained untraced. Police have, however, detained about dozen suspects including two surrendered militants for questioning in connection with the killings but no formal arrests have been made so far.
As reported, police have shown photographs of seven listed militants of Kishtwar to number of eyewitnesses but none of them resembled to the attackers, indicating that the militants, who executed the killings, either belonged to South Kashmir or were fresh recruits from Kishtwar.
Meanwhile, authorities today lifted curfew from Bhaderwah town and restrictions under Section 144 from rests of the areas in Doda district as situation remained peaceful in all the areas.
SSP Doda Shabir Malik told the Excelsior that curfew was initially relaxed in Bhaderwah town from 1030 am to 12.30 pm. However, in view of complete normal conditions, curfew was lifted. Simultaneously, Section 144 was also lifted from entire Doda district.
Sources said police was working on various leads to reach to the militants involved in the killings. At the same time, police, Army and CRPF were also conducting joint search operations in several areas of Kishtwar district to trace the militants.
âEyewitnesses have been voluntarily helping us to give clues about the militants, who executed the killing inside the District Hospital Kishtwar,â police said.
It may be mentioned here that a militant had struck inside the District Hospital Kishtwar on Tuesday afternoon and opened firing injuring RSS top leader Chanderkant Sharma and martyring his PSO, Rajinder Kumar. Sharma had attained martyrdom in the Government Medical College (GMC) Jammu, where he was airlifted.","Chanderkant Sharma, Rajinder Kumar, Kishtwar Shakti Pathak, Doda Shabir Malik, Sharma","Army, SSP, Central Reserve Police Force, CRPF, PSO, Government Medical College",-
27,"LEH, Apr 10: The residents of Spangmik village, located near the famous Pangong lake, reportedly marched towards China in protest against the District Administrationâs demolition drive carried out this morning to dismantle the tourist camp raised near the lake.
Reports said that all Spangmik residents, twelve household in number, marched towards China border leaving their livestock locked at home. The residents threatened that if they were not allowed to raise structures on their land, they would prefer to walk towards China in protest.
However the protesting residents were stopped by Army at Border Personal Meeting point (BPM) and when the last report received around 4:00 PM, they were still at BPM.
When Area Councillor Stanzin Konchok was contacted in Leh, he said that Pangong dispute has been there between the administration and the locals for quite sometimes and the former should find a solution in an amicable way without hurting the sentiment of residents around Pangong lake. He added that he couldnât meet Deputy Commissioner today to discuss the issue as the latter, who is also the District Election Officer, was busy with ongoing election process.
Responding to media query, former Area Councilor Tsering Angchok telephonically said that administration carried out demolition drive in the area and destroyed number of tourist camps owned by locals. Claiming that the Administration didnât demolish Wild Life Department structures raised in the same area, he termed the situation as critical and said that it was injustice towards the residents who were not being allowed to carry out business activities on their own land.
When Deputy Commissioner Avny Lavasa was contacted, she said that the Administration was in process to sort out the issue.","Stanzin Konchok, Tsering Angchok, Avny Lavasa","Army, Wild Life Department",-
28,"SAMBA, Apr 10: The people of village Barota camp, Sector Ramgarh protested against shifting of Polling Station from Barota to village Pakhri in district Samba today.
According to the reports, a large number of the people of village assembled in Ramgarh and raised slogan against the concerning department. They alleged that last several years the Polling Station was established in their village Barota Camp during the elections but this time the concerned department shifted the Polling Station from village Barota to Pakhri.
Due to this the people of this village face lot of trouble in casting their vote because the village Pakhri is away from this village and also voters have to cover a large distance to cast their votes. Not only this, the old people canât visit such a long distance to cast their vote, the protestors said.
They were demanding the Polling Station be shifted in their village Barota from Pakhri so that the people will not face any problem.",,,-
29,"JAMMU, Apr 9: Various political and social leaders have strongly condemned the terrorist attack on RSS leader and his Personnel Security Officer (PSO) at Kishtwar who attained martyrdom today.
Those who strongly condemned the attack on RSS leader and his PSO included former Chief Ministers, Omar Abdullah and Mehbooba Mufti.
âUnequivocally condemn the brutal murder of Chandrakant & his personal security officer in Kishtwar today, there can be no place for targeting political operatives like thisâ. âI hope the residents of the area will cooperate with the administration and maintain calmâ, Abdullah said in a tweet.
While condemning the killings, Mehbooba Mufti called for a probe into the incident.
âCondemn this act of terror, seems like part of a bigger plan to incite communal tension. She urged Governor, Satya Pal Malik to initiate a probe and appealed to the people of Kishtwar to maintain peace and harmony,â she tweeted.
BJP National vice president and Prabhari J&K Avinash Rai Khanna has also strongly condemned the Kishtwar killings in which the RSS activist Chanderkant Sharma and his PSO attained martyrdom. Khanna in a handout while condemning the barbaric act of terrorists said Chanderkant was a nationalist who has been raising his voice against the anti national elements in erstwhile Doda district and worked to strengthen the patriotic forces besides inducing a sense of security among minorities,. In his martyrdom the State has lost a torch bearer of patriotism and his loss is irreparable, he added

Senior Congress leader and party candidate from Kathua -Udhampur and Doda constituency, Vikramaditya Singh has also strongly condemned the terrorist attack on RSS leader in which he and his PSO attained martyrdom. In a statement issued here, today Vikramadity has expressed his deep shock and serious concern over the targeted killing of prominent RSS leader and his PSO and described it a most cowardice act which was aimed at disturbing peace and harmony in the area. He demanded that the perpetrators should be identified and brought to book.
BJP State President, Ravinder Raina while strongly condemning the attack termed it a cowardice act of terrorists who were afraid of social work of RSS leader.","Omar Abdullah, Mehbooba Mufti, Chandrakant, Abdullah, Satya Pal Malik, Prabhari J&K Avinash Rai Khanna, Chanderkant Sharma, Khanna, Chanderkant, Vikramaditya Singh, Vikramadity, Ravinder Raina","PSO, BJP National, State, Congress, BJP",-
30,"Excelsior Correspondent
MENDHAR, Mar 30: The relatives and villagers from Mankote area today held strong protest demonstration against police and blocked Mendhar-Jammu road in the town here for over two hours.
Reports said that family members and relatives of Master Gulzar Ahmed, resident of Mankote whose dead body with multiple injuries was recovered from river bank in Balnoi area on March 27, today thronged Police Station Mendhar at around 10.30 am and started strong protest demonstration. They alleged that police failed to arrest the accused even after three days of the incident and was trying to shield the culprits.
The family members including large number of women, shouted slogans against the police and said that it was clear case of murder while police was derailing the investigations. SHO Sajad Mir and SDPO Mendhar, Neeraj Padyar tried to pacify the agitating people but they were not prepared to listen them. After staging protest there for about an hour, then the people moved to the main bazaar Mendhar and blocked Mendhar-Jammu road near main chowk. They sat on dharna and started protest against Police. The movement of vehicles remained stalled for about two hours.
Then the SDPO and SHO moved to the spot and gave assurance to the people publicly to hold fair probe and arrest the accused shortly. He also sought some time from the people. A meeting later held with the Sarpanch and Panchayat members and family members wherein, assurance was given by the SDPO and SHO for fair investigations. The people then lifted dharna from the road.","MENDHAR, Gulzar Ahmed, Neeraj Padyar","SHO Sajad Mir, SDPO Mendhar, SDPO",-
31,"KATHUA, Apr 3: To project their long pending demands, a large number of PHE workers held protest, here today.
Carrying placards, PHE workers along with their family members under the banner of All J&K PHE ITI Trained and CP Workers and Land Donors and Imprest Wagers Association District Kathua assembled here and held protest. They raised slogans against the Government for not conceding their long pending demands.
The protesting employees were demanding release of their pending 60 months salary, amendment in SRO-520 and issuance of permanent status.
The protest was led by Provisional President of the Association Tanveer Hussain, while Vice President Deepak Kumar, District President Div Narayan and Jatinder Kumar were also present.
The protestors also marched towards DC Office Kathua and blocked the road for around one hour.
After getting information, police team led by DySP Nikhil Rasgotra and SHO Arvind Sambyal rushed to the spot and assured the protestors to take up their demands with the concerned authorities for redressal.
Later, the protestors submitted memorandum of demands to DC for sending the same to the Governor Satya Pal Malik.
While speaking, Provincial President of the Association Tanveer Hussain criticized the Government for not paying heed towards the issues of the PHE employees.
âDue to non-release of wages, it has become very difficult for PHE daily employees to surviveâ, he said.
He demanded amendment in SRO-520, permanent status for PHE workers and release of pending 60 months wages.","Tanveer Hussain, Deepak Kumar, Div Narayan, Jatinder Kumar, DySP Nikhil Rasgotra, Arvind Sambyal, Satya Pal Malik","Land Donors, DC Office Kathua",-
32,"JAMMU, Mar 30: Activists of Dogra Front and Shiv Sena today staged a protest demonstration against Congress.
The protest was led by Front president, Ashok Gupta and the protesters condemned Congress for using defamatory term âHindu terrorismâ for vote bank politics.
Speaking on the occasion Gupta said, after the decision of Panchkula High Court in Samjotha blast case all the accused who were jailed on the name of âHindu terrorismâ were acquitted as there was no proof against them.
He also said that entire case was run only to further a propaganda.
âCongress leader, Digvijay Singh accused RSS of running terror training camps; P. Chidambaram, Finance Minister in UPA Government titled the Samjotha Blast case calling it as work of âSaffron terrorismâ and Sushil Kumar Shinde had coined the term âHindu terrorismâ to fulfill the vote propaganda towards a certain section of the society,â Gupta said adding that all these Congress leaders should now apologise to Hindus as they have been proved wrong by the court.
Gupta alleged that all the investigation in the case was done in 2007-09 and the accused were kept in jails for 10 years after which the chargesheet was filed.
âNow the judges said that it was a case of no evidence,â he maintained.
Nikku, Bantu, Kalu, Ashish, Ravinder, Abhishek and others were also present in the protest.","Ashok Gupta, Gupta, Digvijay Singh, P. Chidambaram, Sushil Kumar Shinde, Nikku, Bantu, Kalu, Ashish, Ravinder, Abhishek","Dogra Front, Shiv Sena, Congress, Front, Panchkula High Court",-
33,"Demanding the fixing of a better price for black pepper and coffee, the members of Rajya Raitha Sangha and Hasiru Sene district unit took out a vehicle rally from Kutta to the deputy commissionerâs office in Madikeri on Friday. The rally was led by district unit president Kadyamada Manu Somaiah. The farmers staged protest meetings throughout. A protest was held at General Thimayya Circle and the farmers urged the Central and state governments to fulfil their demands. The protesters accused the Central and state governments of neglecting the farming community.","Hasiru Sene, Kadyamada Manu Somaiah","Rajya Raitha Sangha, General Thimayya Circle",-
34,"New Delhi: Debnath, a resident surgeon at Indira Gandhi Memorial (IGM) Hospital, was dragged by a group of people and thrashed in public by aggrieved relatives of a deceased patient. He was left unconscious in front of Agartala City Centre, nearly 100 yards away from the hospital. Police said that the deceased was pregnant. Debnath is now under treatment at the Govind Ballabh Pant Medical College and Hospital, where his condition is said to be ""out of danger"". Five people were arrested in connection with the incident, but they got bail from a lower court. Doctors and staff at government hospitals in Tripura on Friday threatened to resign en-masse demanding action against the accused. Protesting against the incident, the Indian Medical Association (IMA) and the All Tripura Government Doctors' Association (ATGDA), the two main bodies of doctors in the state, said that at least 10 such incidents of manhandling of doctors at different state hospitals have occurred over the past one year. The chief minister also assured that police posts would be set up in front of Govind Ballabh Pant Medical College and Hospital and IGM Hospital to prevent similar incidents in the future.",Debnath,"IGM, Indian Medical Association, ATGDA, IGM Hospital",-
35,"JAIPUR: Public works department contractors launched a protest in the city for non-payment of dues for the works they had done in the past few months. The agitating PWD contractors claimed that they have not received dues for the works that have already been done in the past six months. âMore than 7,000 PWD contractors have not received payments. The works have already been done but payments have not been made. If is happening for the past six months. We have not left with other option except to protest, said Kamlesh Sharma, spokesperson, All Rajasthan Contractor Association. ",Kamlesh Sharma,,-
36,"Members of the Punjab and UT Employees and Pensionersâ Joint Sangarsh Committee staged a protest at Bharat Nagar Chowk Park on Friday. Gurmail Singh, chairman of the committee alleged that the Congress has failed to fulfill promises it made before the Assembly polls. He said the state government was not releasing pending dearness allowance of employees. The government has failed to implement the Pay Commission. They claimed that the government was in a hurry to privatise government departments. They said mid-day meal, ASHA and Anganwadi workers, among others, were working on contract.",Gurmail Singh,"UT Employees, Sangarsh Committee, Congress, Assembly, ASHA",-
37,"Members of the BSNL Employees Union, National Federation of Telecom Employees and All India BSNL Executive Associations protested in front of the GMTD, BSNL, Bharat Nagar Chowk, against the voluntary retirement scheme (VRS). Balbir Singh, circle secretary, BSNLEU, and Surjit Singh, circle secretary, NFTE, said the Department of Telecommunication (DoT) intends to impose the VRS with an aim to make the BSNL more attractive for strategic sale. The DoT and BSNL management wants to implement the VRS scheme to reduce the work force. The crisis in the BSNL is not due to huge workforce but anti-public sector policies of the government.","Bharat Nagar Chowk, Balbir Singh, Surjit Singh","BSNL Employees Union, BSNL, VRS, NFTE",-
38,"Cash-strapped Jet Airwaysâ ground staff Friday demonstrated at Mumbaiâs CSIA airport over the non-payment of salaries. The demonstration over the non-payment of salaries comes a day after the airlines suspended a number of flights. Flights on Thursday were suspended to most foreign destinations such as Amsterdam, London, Paris, Singapore as well as domestic airports like Guwahati, Kolkata, Pune and Patna, among others. âWe are not holding a protest, we just want to know about our salaries. We have not received our salary. We are facing a lot of problems in our day to day life. We want clarity as to what is happening in the management,â the protesting staff demanded.",,CSIA,-
39,"Arhtiyas on Saturday forced the state government to take back the decision of e-trading and direct payment to farmers. The process of procurement would be manual. The decision followed a two-hour meeting of Minister of State for Food and Supplies Karan Dev Kamboj and Kurukshetra MLA Subhash Sudha with members of the Haryana State Arhtiyas Association. The minister assured arhtiyas of support, after which arhtiyas called off the strike. âPayment will be made to arhtiyas in seven days and they will distribute it among farmers,â said Kamboj.","Karan Dev Kamboj, Subhash Sudha, Kamboj",,-
40,"Harvinder Singh Sarna, brother of the Shiromani Akali Dal (Delhi) leader S Paramjit Sarna on Friday allegedly manhandled an ANI journalist in Delhi. Harvinder mistreated the journalist after he questioned him on the farewell reception organised by Paramjit for outgoing Pakistan High Commissioner to India Sohail Mahmood. Harvinder also roughed up the cameraman and hurled abuses at them.","Harvinder Singh Sarna, Paramjit Sarna, Harvinder, Paramjit, Sohail Mahmood",Shiromani Akali Dal,-
41,"Thirty policemen and 15 students were injured in a clash when police tried to remove a group of students who had blocked traffic at Karnalâs ITI chowk on Friday to protest against the death of a student in a bus accident the previous day. Haryana Police also rounded up 100 students. A day after 20-year-old Nikit, a student of Industrial Training Institute (ITI) and a resident of Rindal village, was allegedly crushed to death by a Haryana Roadways bus, the students boycotted classes and came out to block NH-44. ",,"ITI, Haryana Police, Industrial Training Institute, Haryana Roadways",-
42,"Scores of students from schools and universities across Delhi Friday gathered outside the Union ministry of environment forest and climate change as part of the ongoing global school strikes for climate action. âWe are in the midst of the sixth mass extinction,â students wrote in a memorandum submitted to Ritesh Kumar Singh, the joint secretary of the ministry. âWe will be the ones to suffer the most in spite of the fact that we had no role in the destruction of the planet.â The protest was a part of the âFridays for Futureâ movement organised by school children across the globe who plan to take the streets Fridays -- at least once a month -- to protest the governmentâs inaction to curb climate change. Last year, the movement was kick-started by Greta Thunberg, a 16-year-old girl from Sweden, who refused to go to school until politicians took action against climate change. With colourful banners and costumes made of plastic, students braved the April sun to raise their voices against global warming, industrial pollution, deforestation, droughts, and environmental migration among other issues. The students also raised questions over Punjab Land Preservation Act, environmental clearances for coal mining in Chhattisgarh, and melting of Himalayan ice caps.","Ritesh Kumar Singh, Greta Thunberg",,-
43,"Members of two factions of Democratic Teachersâ Front (DTF) indulged in a war of words on Friday. While one group staged a protest at Ambedkar Park and sought action against a teacher who had allegedly attacked the president of the union on Thursday evening, the other groupâs members conducted a press conference to defy the formerâs claims. Two teachers from both the factions allegedly manhandled each other and got injured and had to be admitted to different hospitals in the district. Resham Singh, president of the DTF, said âWhen I shared information regarding Februaryâs pending salaries of teachers, Arjan Singh started using foul language against me. I have always ignored such behaviour in the past and when I replied that this offensive behaviour will not be tolerated, he threatened to attack me. Later in the evening, he came outside the Teachersâ Home and attacked me, causing serious injuries to my head.â","Resham Singh, Arjan Singh",DTF,-
44,"Ludhiana, April 12 Teachers of LR DAV College, Jagraon, today sat on a protest dharna as the authorities have failed to give them salaries for the past five months. District president of PCCTU Kuldeep Walia also joined the protesting staff. Speaking on the occasion he said it was sad that the staff was working without salaries for the past five months. âIt is very unfortunate that they are not been given salaries from the last five months. They are putting in their hard efforts but are being denied the basic right of their salary,â said Walia. Professor Parminder Singh said they sat on dharna only during their free periods so that the studies of the students do not suffer, but the authorities were least concerned about their demands. He further said if the authorities did not pay heed to their demands, then they will have no other option but to go on a hunger strike.","PCCTU Kuldeep Walia, Walia, Parminder Singh",LR DAV College,-
45,"A Haryana Civil Service officer posted in Panchkula was arrested on Thursday for allegedly molesting a woman employee. âReagan Kumar, administrative officer-cum-secretary and CEO of Utkarsh Society, Secondary Education Department, was arrested for allegedly molesting a women employee,â said R.S. Meena, Deputy Commissioner of Police, Panchkula. The woman in her complaint alleged that on May 28 the officer called her to his cabin and offered her coffee, which she refused. The next day, he summoned her to his cabin and tried to sexually assault her. The woman lodged a complaint with the police following which the officer was booked and a preliminary investigation was started. A case was registered against him under Sections 354-A and 354-D of the IPC.","Reagan Kumar, R.S. Meena, Panchkula","Haryana Civil Service, Utkarsh Society",-
46,"Two statues of Dalit icon Bhimrao Ramji Ambedkar was vandalised in Uttar Pradesh on Friday night and Saturday. One statue was found with its head chopped off at a park in Allahabadâs Trivenipuram locality today and the other B R Ambedkar statue was damaged in Siddharthnagar's Gohaniya last night. ""We are aware of the matter and are trying to locate the suspects,"" said Senior Superintendent of Police (SSP) Allahabad Aakash Kulhari, according to news agency IANS.",Bhimrao Ramji Ambedkar,IANS,-
47,"Chennai: Unidentified men Friday allegedly hurled petrol bombs at the house of a local DMK functionary in Central Chennai parliamentary constituency damaging a car parked there, police said. An FIR has been registered, police said, adding CCTV footage showed the suspects were wearing helmets and moving toward the house of the functionary. ""No casualties have been reported. Investigation is on,"" a police officer said. A car parked in the house was damaged in the incident, police said. DMK candidate in Central Chennai Lok Sabha seat and former union minister Dayanidhi Maran condemned the incident saying it was to impede the party's poll prospects in the April 18 elections. He accused allies of AMMK leader TTV Dhinakaran of being behind the attack.",Dayanidhi Maran,CCTV,-
48,"A Central Reserve Police Force (CRPF) trooper was injured on Friday in a petrol bomb attack here. Police said unidentified persons hurled the bomb at a CRPF bunker in Gojwara area of Srinagar's old city.""One CRPF jawan sustained minor injuries and has been shifted to hospital,"" a police official said.",,CRPF,-
49,"Balasore: Accusing the headmaster and physical education teacher of torturing and misbehaving with girl students at Janardhan High School of Barbatia village under Bhogarai block in Balasore, locals staged a protest in front of the school today. Apart from harassing girls, the locals also alleged that teachers used to consume alcohol inside the school premises. âBoth the headmaster and physical education teacher used to physically torture the girl students since long and we want them to be immediately transferred,â a Barabatia resident, Ajay Kumar Pal, said.",Ajay Kumar Pal,Janardhan High School,-
50,"At around 6:00 pm today, BJP supporters allegedly vandalised and destroyed properties of the Congress party office building located at Khangabok Part-II, Mayai Leikai. In the process, a scuffle ensued between the BJP and Congress party supporters which resulted in injuries to three Congress supporters while a female supporter who sustained severe injuries is currently undergoing treatment at Shija Hospital. The female who is undergoing treatment has been identified as Khundrakpam Pushpa, 17, daughter of Kunjeshor of Lai Lam Thokpham, Khangabok part-II. The three injured were first admitted to Thoubal District Hospital; however, the severance of the injuries sustained by Khundrakpam Pushpa led to her referral to Shija Hospital while the other two have been discharged after treatments. It may be especially mentioned that the tensions and violence erupted due to alleged reports that BJP supporters were denying Congress supporters from casting their votes while also denying the Congress party agent to be present in the polling station.","Mayai Leikai, Lai Lam Thokpham, Khundrakpam Pushpa","BJP, Congress",-
51,"ITANAGAR, April 12 - One person died in poll-related violence at Nyapin in Kurung Kumey district of Arunachal Pradesh, police said today. The man, said to be a supporter of the ruling BJP, had sustained grievous injuries in a clash on polling day on Thursday. Inspector General of Police and State Nodal Officer (Election) Sunil Garg today said the man was rushed to a hospital where he succumbed to his injuries.",Sunil Garg,BJP,-
52,"Accusing the ruling Trinamool Congress of rigging in the Cooch Behar Lok Sabha seat during the first phase of polling in West Bengal on Thursday, BJP candidate Nishit Pramanik held a sit-in protest in front of the district magistrate's office and demanded a re-poll in 500 booths where state police was deployed. Pramanikâs accusation came as central police observer Vivek Dubey expressed his satisfaction on the first phase of Lok Sabha polling in Alipurduar and Cooch Behar constituencies. Pramanik alleged rigging in nearly 500 booths where state police was deployed. Pramanikâs security guards even had a scuffle with the local police when they went to lift the dharna. BJP candidate from Alipurduar John Balra also complained of rigging by TMC workers in some of the booths. âWe want re-polling in nearly 500 booths due to massive rigging by the TMC cadres. If our demands are not met, then we will go for a massive protest,â Pramanik threatened.","Vivek Dubey, Cooch Behar, Alipurduar John Balra","Trinamool Congress, BJP, Lok Sabha, TMC",-
53,"After farmers were stopped from organising a crop insurance rally on Wednesday owing to PM Modiâs rally in Saurashtra, about 300 farmers gathered at Bahumali Bhavan at 11 am on Thursday and tried to proceed to the Collectorâs office. The situation turned tense after the farmers were stopped from going ahead and the police had to detain 34 people, including 26 men and 8 women. Rajkot Joint Commisioner of Police Siddharth Khatri said that 34 people were detained and later released without any offence registered against them.",Siddharth Khatri,,-
54,"Hyderabad: Former MP and YSRCP General Secretary YV Subba Reddy on Thursday demanded that the TDP MLAs and MPs who resorted to violence during the polling should be arrested and disqualified from the elections. He urged the Election Commission to take action in this regard. Speaking to the media at the YSRCP office in Hyderabad on Thursday, he mentioned that Eluru constituency TDP candidate and sitting MLA Badeti Bujji attacked former deputy mayor, former corporator and four others belonging to YSRCP party. Stating that the police didn't respond to these attacks, YV Subba Reddy also added that TDP leader and Rajya Sabha member CM Ramesh attacked YSRCP agents in polling booths at Jammalamadugu and Proddatur constituencies of YSR district. Several MLAs, MPs from TDP launched attacks on YSRCP activists and agents in other districts. Seeking the arrest of MLAs and MPs who were involved in these attacks, Subba Reddy also demanded their disqualification from the elections. He further lashed out at the yellow media for blaming YSRCP leaders in these attacks and damaging and EVMs in polling booths. The YSRCP leader further sought action against the media channels who are indulging in false propaganda.","YV Subba Reddy, Badeti Bujji, Subba Reddy, Ramesh","Election Commission, TDP",-
55,"Lok Sabha candidate of Jana Sena Party (JSP), Madhusudan Gupta, on Wednesday broke an Electronic Voting Machine (EVM) at a polling booth in Gooty town here alleging that the names of Assembly and Lok Sabha seats had not been properly displayed in the voting chamber. Gupta reached the polling station at Girls' Higher School in Gooty which falls under Guntakal Assembly constituency, this morning. He alleged that the names of Assembly and Lok Sabha seats had not been properly displayed in the polling chamber. Election officials tried to pacify him but an angry Gupta threw an EVM on the floor and broke it. He was later taken into police custody.","Madhusudan Gupta, Gupta","Jana Sena Party, JSP, Electronic Voting Machine, Girls' Higher School, Guntakal Assembly",-
